x,y,vitesse,regimeMoteur,distance,etape,brulage,panne
359413.2542280776,5041940.608362331,0.001,-0.0,0.0,0.0,0,0
359411.6242263358,5041940.497650525,11.762052266867911,1198.0176511361062,1.6337572593240948,0.0,0,0
359406.841139796,5041940.172777161,22.755516347466195,2159.449336463686,6.42786401129628,0.0,0,0
359399.11087643343,5041939.647727773,33.03061543300932,2931.016336895816,14.17593786968985,0.0,0,0
359390.0953660685,5041939.035382762,32.03061543300932,2867.675576101618,23.212219934408502,0.0,0,0
359381.3569949536,5041938.441861403,31.030615433009316,2803.0552470610637,31.970724221352665,0.0,0,0
359372.8957630887,5041937.867163698,30.030615433009316,2737.12950078092,40.451450730517294,0.0,0,0
359367.1663945041,5041943.679169913,29.030615433009316,2669.871966083653,48.61264430851654,0.0,0,0
359361.18384539033,5041949.884560771,33.03061543300932,2931.016336895816,57.232259706240676,0.0,0,0
359354.91210369865,5041956.389916235,32.03061543300932,2867.675576101618,66.26854177089199,0.0,0,0
359348.8331570589,5041962.695295295,31.030615433009316,2803.0552470610637,75.02704605759185,0.0,0,0
359342.9470054711,5041968.8006979525,30.030615433009316,2737.12950078092,83.50777256705112,0.0,0,0
359337.25364893524,5041974.706124207,29.030615433009316,2669.871966083653,91.71072129855895,0.0,0,0
359331.2710998215,5041980.9115150655,33.03061543300932,2931.016336895816,100.33033669628308,0.0,0,0
359324.9993581298,5041987.416870529,32.03061543300932,2867.675576101618,109.3666187609344,0.0,0,0
359318.9204114901,5041993.722249589,31.030615433009316,2803.0552470610637,118.12512304763426,0.0,0,0
359313.03425990226,5041999.827652247,30.030615433009316,2737.12950078092,126.60584955709353,0.0,0,0
359307.3409033664,5042005.733078501,29.030615433009316,2669.871966083653,134.80879828860137,0.0,0,0
359301.35835425265,5042011.93846936,33.03061543300932,2931.016336895816,143.4284136863255,0.0,0,0
359295.08661256096,5042018.443824823,32.03061543300932,2867.675576101618,152.46469575097683,0.0,0,0
359289.00766592124,5042024.749203883,31.030615433009316,2803.0552470610637,161.2232000376767,0.0,0,0
359283.1215143334,5042030.854606541,30.030615433009316,2737.12950078092,169.70392654713598,0.0,0,0
359277.42815779755,5042036.760032795,29.030615433009316,2669.871966083653,177.9068752786438,0.0,0,0
359271.4456086838,5042042.965423654,33.03061543300932,2931.016336895816,186.52649067636796,0.0,0,0
359265.1738669921,5042049.470779117,32.03061543300932,2867.675576101618,195.56277274101927,0.0,0,0
359259.0949203524,5042055.776158177,31.030615433009316,2803.0552470610637,204.32127702771913,0.0,0,0
359253.20876876457,5042061.881560835,30.030615433009316,2737.12950078092,212.80200353717842,0.0,0,0
359247.5154122287,5042067.78698709,29.030615433009316,2669.871966083653,221.00495226868625,0.0,0,0
359241.53286311496,5042073.992377948,33.03061543300932,2931.016336895816,229.6245676664104,0.0,0,0
359235.2611214233,5042080.497733411,32.03061543300932,2867.675576101618,238.66084973106172,0.0,0,0
359229.18217478355,5042086.8031124715,31.030615433009316,2803.0552470610637,247.41935401776158,0.0,0,0
359223.2960231957,5042092.908515129,30.030615433009316,2737.12950078092,255.90008052722087,0.0,0,0
359217.60266665986,5042098.813941384,29.030615433009316,2669.871966083653,264.10302925872867,0.0,0,0
359211.6201175461,5042105.019332242,33.03061543300932,2931.016336895816,272.7226446564528,0.0,0,0
359205.34837585443,5042111.524687706,32.03061543300932,2867.675576101618,281.7589267211041,0.0,0,0
359199.2694292147,5042117.830066766,31.030615433009316,2803.0552470610637,290.51743100780396,0.0,0,0
359193.3832776269,5042123.935469423,30.030615433009316,2737.12950078092,298.9981575172632,0.0,0,0
359187.689921091,5042129.840895678,29.030615433009316,2669.871966083653,307.20110624877105,0.0,0,0
359181.7073719773,5042136.046286536,33.03061543300932,2931.016336895816,315.8207216464952,0.0,0,0
359175.4356302856,5042142.551642,32.03061543300932,2867.675576101618,324.8570037111465,0.0,0,0
359169.35668364586,5042148.85702106,31.030615433009316,2803.0552470610637,333.61550799784635,0.0,0,0
359163.47053205804,5042154.962423718,30.030615433009316,2737.12950078092,342.0962345073056,0.0,0,0
359157.7771755222,5042160.867849972,29.030615433009316,2669.871966083653,350.29918323881344,0.0,0,0
359151.79462640843,5042167.073240831,33.03061543300932,2931.016336895816,358.9187986365376,0.0,0,0
359145.52288471675,5042173.578596294,32.03061543300932,2867.675576101618,367.9550807011889,0.0,0,0
359139.443938077,5042179.883975354,31.030615433009316,2803.0552470610637,376.71358498788874,0.0,0,0
359133.5577864892,5042185.989378012,30.030615433009316,2737.12950078092,385.194311497348,0.0,0,0
359127.86442995333,5042191.894804266,29.030615433009316,2669.871966083653,393.3972602288558,0.0,0,0
359121.8818808396,5042198.100195125,33.03061543300932,2931.016336895816,402.01687562658,0.0,0,0
359115.6101391479,5042204.605550588,32.03061543300932,2867.675576101618,411.05315769123126,0.0,0,0
359109.5311925082,5042210.910929648,31.030615433009316,2803.0552470610637,419.8116619779311,0.0,0,0
359103.64504092035,5042217.016332306,30.030615433009316,2737.12950078092,428.2923884873904,0.0,0,0
359097.9516843845,5042222.92175856,29.030615433009316,2669.871966083653,436.4953372188982,0.0,0,0
359091.96913527075,5042229.127149419,33.03061543300932,2931.016336895816,445.11495261662236,0.0,0,0
359085.69739357906,5042235.632504882,32.03061543300932,2867.675576101618,454.15123468127365,0.0,0,0
359079.61844693933,5042241.937883942,31.030615433009316,2803.0552470610637,462.9097389679735,0.0,0,0
359077.0010968117,5042241.175704145,30.030615433009316,2737.12950078092,465.63580568289825,0.0,0,0
359077.9942593409,5042233.03310038,29.030615433009316,2669.871966083653,473.83875441412437,0.0,0,0
359079.0378693048,5042224.476895154,33.03061543300932,2931.016336895816,482.4583698122793,0.0,0,0
359080.13192670344,5042215.507088469,32.03061543300932,2867.675576101618,491.4946518773629,0.0,0,0
359081.1923524789,5042206.8130160915,31.030615433009316,2803.0552470610637,500.25315616387775,0.0,0,0
359082.21914663125,5042198.39467802,30.030615433009316,2737.12950078092,508.7338826727482,0.0,0,0
359083.21230916044,5042190.252074255,29.030615433009316,2669.871966083653,516.9368314039743,0.0,0,0
359084.25591912435,5042181.6958690295,33.03061543300932,2931.016336895816,525.5564468021292,0.0,0,0
359085.34997652296,5042172.726062344,32.03061543300932,2867.675576101618,534.5927288672129,0.0,0,0
359086.41040229844,5042164.0319899665,31.030615433009316,2803.0552470610637,543.3512331537278,0.0,0,0
359087.4371964508,5042155.613651895,30.030615433009316,2737.12950078092,551.8319596625983,0.0,0,0
359088.43035897997,5042147.47104813,29.030615433009316,2669.871966083653,560.0349083938244,0.0,0,0
359089.4739689439,5042138.914842905,33.03061543300932,2931.016336895816,568.6545237919793,0.0,0,0
359090.5680263425,5042129.945036219,32.03061543300932,2867.675576101618,577.690805857063,0.0,0,0
359091.62845211796,5042121.250963842,31.030615433009316,2803.0552470610637,586.4493101435778,0.0,0,0
359092.6552462703,5042112.83262577,30.030615433009316,2737.12950078092,594.9300366524483,0.0,0,0
359093.6484087995,5042104.690022005,29.030615433009316,2669.871966083653,603.1329853836744,0.0,0,0
359094.6920187634,5042096.13381678,33.03061543300932,2931.016336895816,611.7526007818293,0.0,0,0
359095.786076162,5042087.1640100945,32.03061543300932,2867.675576101618,620.788882846913,0.0,0,0
359096.8465019375,5042078.469937717,31.030615433009316,2803.0552470610637,629.5473871334278,0.0,0,0
359097.8732960898,5042070.051599645,30.030615433009316,2737.12950078092,638.0281136422983,0.0,0,0
359098.866458619,5042061.90899588,29.030615433009316,2669.871966083653,646.2310623735244,0.0,0,0
359099.9100685829,5042053.352790655,33.03061543300932,2931.016336895816,654.8506777716793,0.0,0,0
359101.00412598153,5042044.3829839695,32.03061543300932,2867.675576101618,663.886959836763,0.0,0,0
359102.064551757,5042035.688911592,31.030615433009316,2803.0552470610637,672.6454641232779,0.0,0,0
359103.09134590934,5042027.27057352,30.030615433009316,2737.12950078092,681.1261906321483,0.0,0,0
359104.08450843854,5042019.127969755,29.030615433009316,2669.871966083653,689.3291393633745,0.0,0,0
359105.12811840244,5042010.57176453,33.03061543300932,2931.016336895816,697.9487547615294,0.0,0,0
359106.22217580106,5042001.601957845,32.03061543300932,2867.675576101618,706.985036826613,0.0,0,0
359107.28260157653,5041992.907885467,31.030615433009316,2803.0552470610637,715.7435411131279,0.0,0,0
359108.30939572887,5041984.489547395,30.030615433009316,2737.12950078092,724.2242676219984,0.0,0,0
359109.30255825806,5041976.34694363,29.030615433009316,2669.871966083653,732.4272163532245,0.0,0,0
359110.34616822196,5041967.790738405,33.03061543300932,2931.016336895816,741.0468317513794,0.0,0,0
359111.4402256206,5041958.82093172,32.03061543300932,2867.675576101618,750.0831138164631,0.0,0,0
359112.50065139605,5041950.126859342,31.030615433009316,2803.0552470610637,758.8416181029779,0.0,0,0
359113.5274455484,5041941.70852127,30.030615433009316,2737.12950078092,767.3223446118484,0.0,0,0
359111.3521430595,5041940.014676514,29.030615433009316,2669.871966083653,770.0793449702159,0.0,0,0
359105.2170337047,5041946.069278303,33.03061543300932,2931.016336895816,778.6989603684175,0.0,0,0
359097.73712284636,5041953.451034525,42.63429089360017,2837.237141431853,789.2079751358175,0.0,0,0
359088.42049184657,5041962.645408652,51.610416727960455,2382.8896227334644,802.2975178612966,0.0,0,0
359077.3871606959,5041973.533955645,60.00000000000001,2636.2316067961337,817.7989646292377,0.0,0,0
359064.7493067105,5041986.0059702275,67.84136817791196,2809.542079273528,835.5547102094229,0.0,0,0
359050.61177700944,5041999.957981131,75.17034423164414,2985.2417249800774,855.4174480443675,0.0,0,0
359035.87751546444,5042014.498893304,73.8777581737331,2943.402189792082,876.1185733783294,0.0,0,0
359021.3988130408,5042028.787599913,72.58517211582208,2921.974960068036,896.4606470295439,0.0,0,0
359007.17566973856,5042042.824100958,71.29258605791104,2900.2021372966465,916.4436689980109,0.0,0,0
358993.2080855577,5042056.60839644,70.0,2878.078147516375,936.0676392837305,0.0,0,0
358979.3682809375,5042070.26658914,70.0,2878.078147516375,955.5120837280763,0.0,0,0
358965.5284763173,5042083.924781839,70.0,2878.078147516375,974.956528172422,0.0,0,0
358951.6886716971,5042097.582974539,70.0,2878.078147516375,994.4009726167678,0.0,0,0
